token_id,speaker,intonation,target_utterance,sentence_type_to_supply
S23T1_intonation_004,S23,Falling,go away and do not bother us again,
S23T1_intonation_005,S23,Falling,the wolf had a feast,
S24T1_intonation_000,S24,Falling,where is the wolf,
S24T1_intonation_001,S24,Rising,have you really seen a wolf,
S24T1_intonation_002,S24,Rise & Fall,was there wolf or not,
S24T1_intonation_003,S24,Falling,you are fooling us again are not you,
S24T1_intonation_004,S24,Falling,go away and don't bother us again,
S24T1_intonation_005,S24,Falling,the wolf had a feast,
S25T1_intonation_000,S25,Falling,where is the wolf,
S25T1_intonation_001,S25,Rising,have you really seen a wolf,
S25T1_intonation_002,S25,Rise & Fall,was there a wolf or not,
S25T1_intonation_003,S25,Falling,you are fooling us again aren't you,
S25T1_intonation_004,S25,Falling,go away and don't [uh] bother us again,
S25T1_intonation_005,S25,Falling,the wolf had a feast,
S26T1_intonation_000,S26,Falling,where is the wolf,
S26T1_intonation_001,S26,Rising,have you really seen a wolf,
S26T1_intonation_002,S26,Rise & Fall,was there a wolf or not,
S26T1_intonation_003,S26,Falling,you're fooling us again aren't you,
S26T1_intonation_004,S26,Falling,go away and don't bother us again,
S26T1_intonation_005,S26,Falling,the wolf had a feast,
S27T1_intonation_000,S27,Falling,where is the wolf,
S27T1_intonation_001,S27,Rising,have you really seen a wolf,
S27T1_intonation_002,S27,Rise & Fall,was there a wolf or not,
S27T1_intonation_003,S27,Falling,you're fooling us again aren't you,
S27T1_intonation_004,S27,Falling,go away and don't bother us again,
S27T1_intonation_005,S27,Falling,the wolf had a feast,
S28T1_intonation_000,S28,Falling,where is the wolf,
S28T1_intonation_001,S28,Rising,have you really seen a wolf,
S28T1_intonation_002,S28,Rise & Fall,was there wolf or not,
S28T1_intonation_003,S28,Falling,you are fooling us again aren't you,
S28T1_intonation_004,S28,Falling,go away and don't bother us again,
S29T1_intonation_000,S29,Falling,where is the wolf,
S29T1_intonation_001,S29,Rising,have you really seen a wolf,
S29T1_intonation_002,S29,Rise & Fall,was there a wolf or not,
S29T1_intonation_003,S29,Falling,you are fooling us again aren't you,
S29T1_intonation_004,S29,Falling,go away and don't bother us again,
S29T1_intonation_005,S29,Falling,the wolf had a feast,
S2T1_intonation_000,S2,Falling,where is the wolf,
S2T1_intonation_001,S2,Rise & Fall,was there wolf or not,
S2T1_intonation_002,S2,Falling,you're fooling us again aren't you,
S2T1_intonation_003,S2,Falling,go away and don't bother us again,
S2T1_intonation_004,S2,Falling,the wolf had a,
S30T1_intonation_000,S30,Falling,where is the wolf,
S30T1_intonation_001,S30,Rising,have you real seen a wolf,
S30T1_intonation_002,S30,Rise & Fall,was there a w wolf or not,
S30T1_intonation_003,S30,Falling,you are fooling us again aren't you,
S30T1_intonation_004,S30,Falling,go away and don't bother us again,
S30T1_intonation_005,S30,Falling,the wolf had a feast,
S3T1_intonation_000,S3,Falling,where is the wolf,
S3T1_intonation_001,S3,Rising,have you really seen a wolf,
S3T1_intonation_002,S3,Rise & Fall,was there a wolf or not,
S3T1_intonation_003,S3,Falling,you are fooling us again are not you,
S3T1_intonation_004,S3,Falling,go away and do not bother us again,
S3T1_intonation_005,S3,Falling,the wolf had a,
S4T1_intonation_000,S4,Falling,where is the wolf,
S4T1_intonation_001,S4,Rising,have you really seen a wolf,
S4T1_intonation_002,S4,Rise & Fall,was there a wolf or not,
S4T1_intonation_003,S4,Falling,you are fooling us again aren't you,
S4T1_intonation_004,S4,Falling,go away and don't bother us again,
S4T1_intonation_005,S4,Falling,the wolf had a,
S5T1_intonation_000,S5,Falling,where is the wolf,
S5T1_intonation_001,S5,Rising,have you really seen a wolf,
S5T1_intonation_002,S5,Rise & Fall,was there a wolf or not,
S5T1_intonation_003,S5,Falling,you are for fooling us again aren't you,
S5T1_intonation_004,S5,Falling,go away and don't bother us again,
S5T1_intonation_005,S5,Falling,the wolf had a feast,
S6T1_intonation_000,S6,Falling,where is the wolf,
S6T1_intonation_001,S6,Rising,have you really seen a wolf,
S6T1_intonation_002,S6,Rise & Fall,was there a wolf or not,
S6T1_intonation_003,S6,Falling,you are fooling us again aren't you,
S6T1_intonation_004,S6,Falling,go away and don't br bother us again,
S6T1_intonation_005,S6,Falling,the wolf had a feast,
S7T1_intonation_000,S7,Falling,where is the wolf,
S7T1_intonation_001,S7,Rising,have you really seen a wolf,
S7T1_intonation_002,S7,Rise & Fall,was there wolf or not,
S7T1_intonation_003,S7,Falling,you are fooling us again aren't you,
S7T1_intonation_004,S7,Falling,go away and don't bother us again,
S7T1_intonation_005,S7,Falling,the wolf had a feast,
S8T1_intonation_000,S8,Falling,where is the wolf,
S8T1_intonation_001,S8,Rising,have you really seen a wolf,
S8T1_intonation_002,S8,Rise & Fall,was there a wolf or not,
S8T1_intonation_003,S8,Falling,you are fooling us again aren't you,
S8T1_intonation_004,S8,Falling,go away and don't bother us again,
S8T1_intonation_005,S8,Falling,the wolf had a feast,
S9T1_intonation_000,S9,Falling,where is the wolf,
S9T1_intonation_001,S9,Rising,have you really seen a wolf,
S9T1_intonation_002,S9,Rise & Fall,was there a wolf or not,
S9T1_intonation_003,S9,Falling,you are fooling us again aren't you,
S9T1_intonation_004,S9,Falling,go away and don't bother don't bother us again,
S9T1_intonation_005,S9,Falling,the wolf had a feast,
